#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
75.000	0.076043	816.67	0.0012245	-3.5556	-3.5530	77.637	30.760	56.899	875.28	-0.35506	176.75	0.14954	0.0094163	3.5404	0.28245	1.5082	2.1099	153.14	21.472	31.039	172.95	28.707	5.2621	0.0069138
75.500	0.080952	814.44	0.0012278	-3.5272	-3.5244	78.014	30.676	56.956	870.22	-0.35224	173.13	0.14854	0.0093018	3.7503	0.26664	1.5164	2.1211	152.79	21.499	31.128	173.36	28.350	5.3005	0.0069712
76.000	0.086102	812.20	0.0012312	-3.4988	-3.4958	78.389	30.592	57.016	865.15	-0.34935	169.63	0.14754	0.0091876	3.9695	0.25192	1.5245	2.1321	152.44	21.527	31.220	173.77	28.001	5.3390	0.0070291
76.500	0.091499	809.95	0.0012346	-3.4704	-3.4672	78.762	30.509	57.078	860.08	-0.34638	166.23	0.14655	0.0090737	4.1982	0.23820	1.5325	2.1431	152.10	21.556	31.315	174.16	27.660	5.3777	0.0070872
77.000	0.097152	807.69	0.0012381	-3.4419	-3.4385	79.133	30.427	57.142	855.00	-0.34334	162.94	0.14555	0.0089601	4.4367	0.22539	1.5404	2.1539	151.76	21.585	31.413	174.55	27.328	5.4164	0.0071458
77.500	0.10307	805.43	0.0012416	-3.4134	-3.4098	79.502	30.345	57.209	849.91	-0.34020	159.74	0.14456	0.0088468	4.6853	0.21343	1.5483	2.1645	151.43	21.615	31.515	174.93	27.003	5.4553	0.0072047
78.000	0.10926	803.15	0.0012451	-3.3849	-3.3811	79.869	30.264	57.278	844.82	-0.33699	156.64	0.14356	0.0087337	4.9442	0.20226	1.5561	2.1751	151.10	21.646	31.620	175.31	26.686	5.4943	0.0072640
78.500	0.11572	800.86	0.0012487	-3.3564	-3.3523	80.234	30.184	57.350	839.72	-0.33368	153.63	0.14257	0.0086210	5.2138	0.19180	1.5637	2.1855	150.78	21.677	31.728	175.67	26.377	5.5334	0.0073238
79.000	0.12247	798.56	0.0012522	-3.3278	-3.3235	80.597	30.105	57.425	834.61	-0.33029	150.71	0.14158	0.0085085	5.4944	0.18200	1.5713	2.1957	150.46	21.709	31.839	176.03	26.074	5.5727	0.0073839
79.500	0.12952	796.26	0.0012559	-3.2992	-3.2946	80.958	30.026	57.502	829.49	-0.32680	147.87	0.14058	0.0083963	5.7861	0.17283	1.5788	2.2059	150.15	21.742	31.955	176.38	25.779	5.6121	0.0074446
80.000	0.13687	793.94	0.0012595	-3.2705	-3.2657	81.317	29.949	57.583	824.36	-0.32322	145.11	0.13959	0.0082844	6.0894	0.16422	1.5862	2.2158	149.84	21.776	32.074	176.72	25.490	5.6517	0.0075057
80.500	0.14453	791.61	0.0012633	-3.2419	-3.2368	81.674	29.872	57.666	819.22	-0.31953	142.43	0.13859	0.0081729	6.4045	0.15614	1.5935	2.2257	149.53	21.810	32.197	177.05	25.207	5.6914	0.0075673
